Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C2","10 uF","C_0402_1005Metric",212.090000,-54.610000,270.000000,top
"C3","10 uF","C_0402_1005Metric",200.660000,-54.115000,90.000000,top
"C4","10 uF","C_0402_1005Metric",172.974000,-52.832000,270.000000,top
"C5","10 uF","C_0402_1005Metric",205.740000,-80.010000,0.000000,top
"C6","10 uF","C_0402_1005Metric",212.852000,-86.586000,270.000000,top
"C7","0.1 uF","C_0402_1005Metric",157.734000,-56.388000,270.000000,top
"C8","0.1 uF","C_0402_1005Metric",157.988000,-70.076000,270.000000,top
"C9","0.1 uF","C_0402_1005Metric",170.180000,-52.860000,270.000000,top
"D1","LED","LED_0603_1608Metric",163.576000,-81.026000,90.000000,top
"D2","LED","LED_0603_1608Metric",167.767000,-81.127500,90.000000,top
"D3","LED","LED_0603_1608Metric",171.907200,-81.153100,90.000000,top
"Q1","2N7002","SOT-23",164.592000,-84.836000,270.000000,top
"Q2","2N7002","SOT-23",168.722000,-84.820000,270.000000,top
"Q3","2N7002","SOT-23",172.847000,-84.836000,270.000000,top
"Q4","BSS138","SOT-23",209.132000,-63.842000,270.000000,top
"Q5","BSS138","SOT-23",202.370000,-63.842000,270.000000,top
"R1","R","R_0402_1005Metric",165.481000,-80.721200,90.000000,top
"R2","R","R_0402_1005Metric",169.672000,-80.848200,90.000000,top
"R3","R","R_0402_1005Metric",173.786800,-80.875600,90.000000,top
"R4","10M","R_0402_1005Metric",160.528000,-57.404000,90.000000,top
"R5","10M","R_0402_1005Metric",159.766000,-71.120000,90.000000,top
"R6","400R","R_0402_1005Metric",160.528000,-55.374000,270.000000,top
"R7","400R","R_0402_1005Metric",159.766000,-68.580000,270.000000,top
"R8","10K","R_0402_1005Metric",209.294000,-60.960000,180.000000,top
"R9","10K","R_0402_1005Metric",202.438000,-60.960000,180.000000,top
"R10","10K","R_0402_1005Metric",208.536000,-67.056000,0.000000,top
"R11","10K","R_0402_1005Metric",201.932000,-67.056000,0.000000,top
"U1","HT7550-1-SOT89","SOT-89-3",205.740000,-54.610000,0.000000,top
"U2","HT7533-1-SOT89","SOT-89-3",173.736000,-57.404000,270.000000,top
"U4","PCF8591","SOIC-16W_7.5x10.3mm_P1.27mm",205.740000,-87.630000,0.000000,top
"U5","MAX31865xAP","SSOP-20_5.3x7.2mm_P0.65mm",165.343000,-56.444000,270.000000,top
"U6","MAX31865xAP","SSOP-20_5.3x7.2mm_P0.65mm",165.354000,-69.850000,270.000000,top
