"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"RTD1 Conn";;;
2;"R11,R10,R9,R8";"R_0402_1005Metric";4;"10K";;;
3;"R7,R6";"R_0402_1005Metric";2;"400R";;;
4;"R5,R4";"R_0402_1005Metric";2;"10M";;;
5;"R3,R2,R1";"R_0402_1005Metric";3;"R";;;
6;"C9,C8,C7";"C_0402_1005Metric";3;"0.1 uF";;;
7;"C6,C5,C4,C3,C2";"C_0402_1005Metric";5;"10 uF";;;
8;"J12";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
9;"U6,U5";"SSOP-20_5.3x7.2mm_P0.65mm";2;"MAX31865xAP";;;
10;"U4";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"PCF8591";;;
11;"U3";"Teensy41";1;"Teensy4.1";;;
12;"U2";"SOT-89-3";1;"HT7533-1-SOT89";;;
13;"U1";"SOT-89-3";1;"HT7550-1-SOT89";;;
14;"Q5,Q4";"SOT-23";2;"BSS138";;;
15;"Q3,Q2,Q1";"SOT-23";3;"2N7002";;;
16;"J11";"PinSocket_2x04_P2.54mm_Vertical";1;"ESP8266";;;
17;"J10";"PinHeader_2x05_P2.54mm_Vertical";1;"UEXT_Host";;;
18;"J9";"PinHeader_1x05_P2.54mm_Vertical";1;"Enc Conn";;;
19;"J8";"PinHeader_1x04_P2.54mm_Vertical";1;"Btn Conn";;;
20;"J7";"PinHeader_1x03_P2.54mm_Vertical";1;"PXDCR Conn";;;
21;"J6";"PinHeader_1x04_P2.54mm_Vertical";1;"PSSR Conn";;;
22;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"SSR3 Conn";;;
23;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"SSR2 Conn";;;
24;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"SSR1 Conn";;;
25;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"RTD 2 Conn";;;
26;"D3,D2,D1";"LED_0603_1608Metric";3;"LED";;;
